LAC2020,LAN2020,DECILE1,DECILE2,DECILE3,DECILE4,DECILE5,DECILE6,DECILE7,DECILE8,DECILE9,DECILE10,LSOA_TOT,PCT1,PCT2,PCT3,PCT4,PCT5,PCT6,PCT7,PCT8,PCT9,PCT10,PCT_TOT
E06000039,Slough,0,7,15,25,10,11,8,4,0,0,80,0.0,8.8,18.8,31.3,12.5,13.8,10.0,5.0,0.0,0.0,100.0
E06000040,Windsor and Maidenhead,0,0,1,3,8,5,6,11,10,45,89,0.0,0.0,1.1,3.4,9.0,5.6,6.7,12.4,11.2,50.6,100.0
E06000041,Wokingham,0,0,0,4,1,1,2,8,17,66,99,0.0,0.0,0.0,4.0,1.0,1.0,2.0,8.1,17.2,66.7,100.0
E06000042,Milton Keynes,8,10,10,15,13,17,22,29,18,10,152,5.3,6.6,6.6,9.9,8.6,11.2,14.5,19.1,11.8,6.6,100.0
E06000043,Brighton and Hove,15,14,17,12,15,25,21,22,14,10,165,9.1,8.5,10.3,7.3,9.1,15.2,12.7,13.3,8.5,6.1,100.0
E06000044,Portsmouth,15,15,14,29,21,12,6,5,6,2,125,12.0,12.0,11.2,23.2,16.8,9.6,4.8,4.0,4.8,1.6,100.0
E06000045,Southampton,19,24,24,26,15,14,7,14,4,1,148,12.8,16.2,16.2,17.6,10.1,9.5,4.7,9.5,2.7,0.7,100.0
E06000046,Isle of Wight,3,9,16,19,17,6,12,4,3,0,89,3.4,10.1,18.0,21.3,19.1,6.7,13.5,4.5,3.4,0.0,100.0
E06000047,County Durham,39,69,50,41,31,22,20,17,23,12,324,12.0,21.3,15.4,12.7,9.6,6.8,6.2,5.2,7.1,3.7,100.0
E06000049,Cheshire East,4,14,18,16,17,16,24,27,32,66,234,1.7,6.0,7.7,6.8,7.3,6.8,10.3,11.5,13.7,28.2,100.0
E06000050,Cheshire West and Chester,16,18,19,16,13,19,19,27,30,35,212,7.5,8.5,9.0,7.5,6.1,9.0,9.0,12.7,14.2,16.5,100.0
E06000051,Shropshire,2,7,7,39,38,28,26,20,16,10,193,1.0,3.6,3.6,20.2,19.7,14.5,13.5,10.4,8.3,5.2,100.0
E06000052,Cornwall,17,26,40,94,55,43,30,16,5,0,326,5.2,8.0,12.3,28.8,16.9,13.2,9.2,4.9,1.5,0.0,100.0
E06000053,Isles of Scilly,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
E06000054,Wiltshire,1,7,11,20,32,44,36,47,53,34,285,0.4,2.5,3.9,7.0,11.2,15.4,12.6,16.5,18.6,11.9,100.0
E06000055,Bedford,4,10,11,12,10,10,14,13,10,9,103,3.9,9.7,10.7,11.7,9.7,9.7,13.6,12.6,9.7,8.7,100.0
E06000056,Central Bedfordshire,0,3,10,7,11,14,23,15,42,32,157,0.0,1.9,6.4,4.5,7.0,8.9,14.6,9.6,26.8,20.4,100.0
E06000057,Northumberland,23,17,18,22,22,22,20,13,21,19,197,11.7,8.6,9.1,11.2,11.2,11.2,10.2,6.6,10.7,9.6,100.0
E06000058,"Bournemouth, Christchurch and Poole",9,17,18,27,26,26,33,26,27,24,233,3.9,7.3,7.7,11.6,11.2,11.2,14.2,11.2,11.6,10.3,100.0
E06000059,Dorset,6,5,7,24,29,39,36,23,24,26,219,2.7,2.3,3.2,11.0,13.2,17.8,16.4,10.5,11.0,11.9,100.0
E06000060 ,Buckinghamshire,0,1,8,16,19,29,30,58,47,111,319,0.0,0.3,2.5,5.0,6.0,9.1,9.4,18.2,14.7,34.8,100.0
E07000008,Cambridge,0,3,6,2,14,8,8,10,10,8,69,0.0,4.3,8.7,2.9,20.3,11.6,11.6,14.5,14.5,11.6,100.0
E07000009,East Cambridgeshire,0,0,0,2,5,11,7,7,9,9,50,0.0,0.0,0.0,4.0,10.0,22.0,14.0,14.0,18.0,18.0,100.0
E07000010,Fenland,4,7,10,11,11,5,5,2,0,0,55,7.3,12.7,18.2,20.0,20.0,9.1,9.1,3.6,0.0,0.0,100.0
E07000011,Huntingdonshire,0,2,3,4,15,13,12,16,22,18,105,0.0,1.9,2.9,3.8,14.3,12.4,11.4,15.2,21.0,17.1,100.0
E07000012,South Cambridgeshire,0,0,1,0,5,5,14,19,19,33,96,0.0,0.0,1.0,0.0,5.2,5.2,14.6,19.8,19.8,34.4,100.0
E07000026,Allerdale,7,5,6,9,6,6,9,6,3,3,60,11.7,8.3,10.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,100.0
E07000027,Barrow-in-Furness,12,8,5,3,7,2,4,4,3,1,49,24.5,16.3,10.2,6.1,14.3,4.1,8.2,8.2,6.1,2.0,100.0
E07000028,Carlisle,4,9,10,10,7,4,8,4,7,5,68,5.9,13.2,14.7,14.7,10.3,5.9,11.8,5.9,10.3,7.4,100.0
E07000029,Copeland,3,8,9,8,8,5,0,3,3,2,49,6.1,16.3,18.4,16.3,16.3,10.2,0.0,6.1,6.1,4.1,100.0
E07000030,Eden,0,0,1,5,8,10,3,5,4,0,36,0.0,0.0,2.8,13.9,22.2,27.8,8.3,13.9,11.1,0.0,100.0
E07000031,South Lakeland,0,0,0,3,8,7,12,16,7,6,59,0.0,0.0,0.0,5.1,13.6,11.9,20.3,27.1,11.9,10.2,100.0
E07000032,Amber Valley,3,5,7,6,16,5,10,9,11,6,78,3.8,6.4,9.0,7.7,20.5,6.4,12.8,11.5,14.1,7.7,100.0
E07000033,Bolsover,2,9,8,10,6,5,1,6,1,0,48,4.2,18.8,16.7,20.8,12.5,10.4,2.1,12.5,2.1,0.0,100.0
E07000034,Chesterfield,6,14,10,9,7,3,7,2,7,4,69,8.7,20.3,14.5,13.0,10.1,4.3,10.1,2.9,10.1,5.8,100.0
E07000035,Derbyshire Dales,1,0,0,0,5,7,6,7,11,6,43,2.3,0.0,0.0,0.0,11.6,16.3,14.0,16.3,25.6,14.0,100.0
E07000036,Erewash,4,7,11,2,7,6,11,7,7,11,73,5.5,9.6,15.1,2.7,9.6,8.2,15.1,9.6,9.6,15.1,100.0
E07000037,High Peak,3,1,2,7,8,5,6,13,8,6,59,5.1,1.7,3.4,11.9,13.6,8.5,10.2,22.0,13.6,10.2,100.0
E07000038,North East Derbyshire,3,3,5,8,7,6,8,5,10,8,63,4.8,4.8,7.9,12.7,11.1,9.5,12.7,7.9,15.9,12.7,100.0
E07000039,South Derbyshire,0,3,3,3,9,7,5,11,9,8,58,0.0,5.2,5.2,5.2,15.5,12.1,8.6,19.0,15.5,13.8,100.0
E07000040,East Devon,0,0,1,6,8,18,9,13,19,7,81,0.0,0.0,1.2,7.4,9.9,22.2,11.1,16.0,23.5,8.6,100.0
